project_id,metric,value,unit,window_start,window_end,source_url,fetched_at,missing_reason
optixutils,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:38:56+00:00,not_published
optixutils,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:38:56+00:00,not_applicable
optodas-processor,repo_stars,0,stars,,,https://api.github.com/repos/speleos/OptoDAS_processor,2026-08-18T06:38:57+00:00,
optodas-processor,repo_forks,0,forks,,,https://api.github.com/repos/speleos/OptoDAS_processor,2026-08-18T06:38:57+00:00,
optodas-processor,repo_contributors,1,contributors,,,https://api.github.com/repos/speleos/OptoDAS_processor,2026-08-18T06:38:57+00:00,
optodas-processor,repo_releases,2,releases,,,https://api.github.com/repos/speleos/OptoDAS_processor,2026-08-18T06:38:57+00:00,
optodas-processor,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:38:57+00:00,not_published
optodas-processor,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:38:57+00:00,not_published
optodas-processor,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:38:57+00:00,not_published
optodas-processor,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:38:57+00:00,not_applicable
pyfocs,repo_stars,23,stars,,,https://api.github.com/repos/klapo/pyfocs,2026-08-18T06:39:00+00:00,
pyfocs,repo_forks,12,forks,,,https://api.github.com/repos/klapo/pyfocs,2026-08-18T06:39:00+00:00,
pyfocs,repo_contributors,3,contributors,,,https://api.github.com/repos/klapo/pyfocs,2026-08-18T06:39:00+00:00,
pyfocs,repo_releases,1,releases,,,https://api.github.com/repos/klapo/pyfocs,2026-08-18T06:39:00+00:00,
pyfocs,pypi_downloads_30d,26,downloads,,2026-08-17,https://pypistats.org/api/packages/pyfocs/recent,2026-08-17T18:50:39+00:00,
pyfocs,pypi_downloads_180d,262,downloads,2026-02-20,2026-08-16,https://pypistats.org/api/packages/pyfocs/recent,2026-08-17T18:50:39+00:00,
pyfocs,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-17T18:50:39+00:00,not_published
pyfocs,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:39:00+00:00,not_applicable
pyseafom,repo_stars,7,stars,,,https://api.github.com/repos/SEAFOM-Fiber-Optic-Monitoring-Group/pySEAFOM,2026-08-18T06:39:02+00:00,
pyseafom,repo_forks,2,forks,,,https://api.github.com/repos/SEAFOM-Fiber-Optic-Monitoring-Group/pySEAFOM,2026-08-18T06:39:02+00:00,
pyseafom,repo_contributors,2,contributors,,,https://api.github.com/repos/SEAFOM-Fiber-Optic-Monitoring-Group/pySEAFOM,2026-08-18T06:39:02+00:00,
pyseafom,repo_releases,1,releases,,,https://api.github.com/repos/SEAFOM-Fiber-Optic-Monitoring-Group/pySEAFOM,2026-08-18T06:39:02+00:00,
pyseafom,pypi_downloads_30d,50,downloads,,2026-08-17,https://pypistats.org/api/packages/pyseafom/recent,2026-08-17T18:50:52+00:00,
pyseafom,pypi_downloads_180d,677,downloads,2026-02-19,2026-08-15,https://pypistats.org/api/packages/pyseafom/recent,2026-08-17T18:50:52+00:00,
pyseafom,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-17T18:50:52+00:00,not_published
pyseafom,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:39:02+00:00,not_applicable
remi-das,repo_stars,4,stars,,,https://api.github.com/repos/Shihao-Yuan/ReMi-DAS,2026-08-18T06:39:04+00:00,
remi-das,repo_forks,2,forks,,,https://api.github.com/repos/Shihao-Yuan/ReMi-DAS,2026-08-18T06:39:04+00:00,
remi-das,repo_contributors,1,contributors,,,https://api.github.com/repos/Shihao-Yuan/ReMi-DAS,2026-08-18T06:39:04+00:00,
remi-das,repo_releases,0,releases,,,https://api.github.com/repos/Shihao-Yuan/ReMi-DAS,2026-08-18T06:39:04+00:00,
remi-das,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:39:04+00:00,not_published
remi-das,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:39:04+00:00,not_published
remi-das,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:39:04+00:00,not_published
remi-das,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:39:04+00:00,not_applicable
rnn-das,repo_stars,4,stars,,,https://api.github.com/repos/Javier-FernandezCarabantes/RNN-DAS,2026-08-18T06:39:06+00:00,
rnn-das,repo_forks,0,forks,,,https://api.github.com/repos/Javier-FernandezCarabantes/RNN-DAS,2026-08-18T06:39:06+00:00,
rnn-das,repo_contributors,1,contributors,,,https://api.github.com/repos/Javier-FernandezCarabantes/RNN-DAS,2026-08-18T06:39:06+00:00,
rnn-das,repo_releases,3,releases,,,https://api.github.com/repos/Javier-FernandezCarabantes/RNN-DAS,2026-08-18T06:39:06+00:00,
